label,manifest
התחרות בכדור רגל - טיול לרחבות.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111002/manifest
התחרות גומלין - מסיבת חברים,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111014/manifest
"המשטרה הבריטית נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111016/manifest
"2 התחרויות גדולות בכדור רגל - התחרות על הגביע הא""י 1930",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111019/manifest
"התחרות בכדור רגל על הגביע הא""י - נשף ההקדמה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111021/manifest
התחרות גומלין - מכבי אבשלום נגד מכבי תל אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111022/manifest
התחרות גדולה בכדור רגל - מפקד כללי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111023/manifest
התחרות גדולה בכדור רגל,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111024/manifest
"התחרות גדולה בכדור רגל - נורטהמסטונשיר נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111032/manifest
"התחרות גדולה בכדור רגל - קבוצה נבחרת נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111041/manifest
2 התחרויות בכדור רגל - N. B. C נגד מכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111043/manifest
"התחרות בכדור-יד הפועל ת""א נגד מכבי ת""א - התחרות בכדור-רגל נבחרת צבאית נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111047/manifest
"התחרות בכדור-רגל C.C.N. NORTHAMTONSHIRE נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111059/manifest
"2 התחרויות בכדור רגל - מכבי נרודיה נגד העברי הצעיר, NORTHAMPTONSHIRE N.A.C נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111060/manifest
"התחרות גומלין גדולה בכדור רגל - C.C.N. NORTHAMTONSHIRE נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111061/manifest
"התחרות בכדור רגל - הבטליון נרטמטנשר נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111062/manifest
"התחרות גדולה בכדור רגל - מכבי אבשלום, פתח תקוה נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111070/manifest
"ההתחרות הראשונה למשחקי הבכורה - מכבי אבשלום, פתח תקוה נגד מכבי א' תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111072/manifest
