label,manifest
"אלבום 48: חיל בריטי במאורעות תרצ""ח.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002685981/manifest
Album 49: Aus Dankbarkeit und zur Erinnerung von den Oberösterreicher Pilgern in das Heiligen Land.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686015/manifest
Album 50: Photographies et Fleurs de Terre Sainte.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686110/manifest
אלבום 51: אלבום תצלומים מוקדמים מבית בונפיס ודומא.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686119/manifest
אלבום 52: הדפסי פוטוכרום מארץ ישראל ומסוריה.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686132/manifest
Album 53: Syrie.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686178/manifest
אלבום 54: אלבום תצלומי קילרמן.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686185/manifest
Album 56: Linn Edson Wheeler Album.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686189/manifest
אלבום 57: דפי שרלייה בזי.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002686196/manifest
Album 58: Frank Mason Good Photographs from Mansell Album.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707596/manifest
אלבום 63: תצלומים מביקור הקיסר וילהלם.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707619/manifest
אלבום 59: אוסף תצלומי טורוסיאן.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707626/manifest
Album 60: Gabriel et Abraham Dabdoub Album.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707787/manifest
אלבום 61: אלבום תצלומי שער הגיא ומלון קמניץ.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707808/manifest
Album 64: New Zealand Mounted Rifles Brigade Album.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707915/manifest
Photographs of Biblical Sites.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707923/manifest
Album 66: Sinai and Palestine Frith photographs.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707936/manifest
Album 68: Vous de Jerusalem (Brogi).,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002707961/manifest
אלבום 69: האוניברסיטה העברית 1948.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716387/manifest
אלבום 70: דפים מאלבום זנגקי.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716403/manifest
אלבום 71: מסע לארץ ישראל 1893.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716409/manifest
אלבום 72: תצלום טבריה גדול.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716413/manifest
"אלבום 73: ארץ ישראל 1938, אלבום ראשון.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716416/manifest
"אלבום 74: ארץ ישראל 1938, אלבום שני.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716420/manifest
אלבום 75: תצלומי זנגקי ודומא.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716437/manifest
אלבום 76: אלבום W. M. J.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716493/manifest
אלבום 77: תצלומי מקס פרוורן מסיני.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716506/manifest
