description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
,Album 68: Vous de Jerusalem (Brogi). -אלבום 68: מראות ירושלים (ברוגי),Album 68: Vous de Jerusalem (Brogi). -אלבום 68: מראות ירושלים (ברוגי),,NNL01,,,image,12 Photographs : b&w ; 10 X 14.5 cm..,ita,002707961,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002707961,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""אלבום 68: מראות ירושלים (ברוגי)""]"
,אלבום 69: האוניברסיטה העברית 1948. -Album 69: The Hebrew University 1948 - Mt. Scopus,אלבום 69: האוניברסיטה העברית 1948. -Album 69: The Hebrew University 1948 - Mt. Scopus,,NNL01,,,image,43 Photographs : b&w ; 8.5 X 11 cm..,heb,002716387,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716387,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 69: The Hebrew University 1948 - Mt. Scopus""]"
,אלבום 70: דפים מאלבום זנגקי. -Album 70: Leafs from Zangaki Album,אלבום 70: דפים מאלבום זנגקי. -Album 70: Leafs from Zangaki Album,,NNL01,,,image,"20 Photographs : b&w, sepia ; 22 X 29 cm..",eng,002716403,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716403,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 70: Leafs from Zangaki Album""]"
,אלבום 71: מסע לארץ ישראל 1893. -Album 71: Palestine pilgrimage 1893,אלבום 71: מסע לארץ ישראל 1893. -Album 71: Palestine pilgrimage 1893,,NNL01,,,image,24 Photographs : b&w ; 00 X 00 cm..,fre,002716409,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716409,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 71: Palestine pilgrimage 1893""]"
,אלבום 72: תצלום טבריה גדול. -Album 7: Tiberias Elephant Print,אלבום 72: תצלום טבריה גדול. -Album 7: Tiberias Elephant Print,,NNL01,,,image,"9 Photographs : b&w, sepia..",,002716413,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716413,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 7: Tiberias Elephant Print""]"
,"אלבום 73: ארץ ישראל 1938, אלבום ראשון. -Album 73: Palestine 1938, First Album","אלבום 73: ארץ ישראל 1938, אלבום ראשון. -Album 73: Palestine 1938, First Album",,NNL01,,,image,82 Photographs : b&w ; 6 X 9 cm; 6 X 6 cm; 9 X 13 cm..,eng,002716416,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716416,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 73: Palestine 1938, First Album""]"
,"אלבום 74: ארץ ישראל 1938, אלבום שני. -Album 74: Palestine 1938, Second Album","אלבום 74: ארץ ישראל 1938, אלבום שני. -Album 74: Palestine 1938, Second Album",,NNL01,,,image,134 Photographs : b&w ; 6 X 9 cm..,eng,002716420,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716420,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 74: Palestine 1938, Second Album""]"
,אלבום 75: תצלומי זנגקי ודומא. -Album 75: Zangaki and Dumas Photographs,אלבום 75: תצלומי זנגקי ודומא. -Album 75: Zangaki and Dumas Photographs,,NNL01,,,image,"26 Photographs : b&w, sepia ; 26.5 X 32 cm..",eng,002716437,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716437,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 75: Zangaki and Dumas Photographs""]"
,אלבום 76: אלבום W. M. J. -Album 76: W. M. J. Album,אלבום 76: אלבום W. M. J. -Album 76: W. M. J. Album,,NNL01,,,image,13 Photographs : sepia ..,eng,002716493,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716493,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 76: W. M. J. Album""]"
,אלבום 77: תצלומי מקס פרוורן מסיני. -Album 77: Max Verworn Photographs of Sinai,אלבום 77: תצלומי מקס פרוורן מסיני. -Album 77: Max Verworn Photographs of Sinai,,NNL01,,,image,39 Photographs : b&w ; 12 X 17 cm..,ger,002716506,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002716506,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 77: Max Verworn Photographs of Sinai""]"
