description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
ארץ ישראל,ארץ ישראל בסוף מלחמת העולם הראשונה [אלבום תצלומים].,ארץ ישראל בסוף מלחמת העולם הראשונה [אלבום תצלומים].,1918,NNL01,,1918,ARCHIVE,49 Photographs : b&w ; 13 X 18 cm..,eng,003427659,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003427659,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Palestine at the end of First World War [Album of photographs].""]"
ארץ ישראל,פרעות ביהודי חודורקוב [אלבום תצלומים].,פרעות ביהודי חודורקוב [אלבום תצלומים].,1919,NNL01,,1919,ARCHIVE,36 Photographs : b&w ; 130 X 180 mm..,heb,003777706,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003777706,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Khodorkov Pogrom [Album of photographs].""]"
ארץ ישראל,פרעות ביהודי תיאופיפול [אלבום תצלומים].,פרעות ביהודי תיאופיפול [אלבום תצלומים].,1919,NNL01,,1919,ARCHIVE,7 Photographs : b&w ..,heb,003777717,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003777717,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Teofipol Pogrom [Album of photographs].""]"
ארץ ישראל,תצלומי סטודנטית מארץ ישראל ומצרפת [אלבום תצלומים].,תצלומי סטודנטית מארץ ישראל ומצרפת [אלבום תצלומים].,ca. 1920-1940,NNL01,,ca. 1920-1940,ARCHIVE,26 Photographs : b&w ..,fre,003474126,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003474126,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Photographs from Palestine and France of a young student [Album of photographs].""]"
ארץ ישראל,לווית המופתי של ירושלים [אלבום תצלומים].,לווית המופתי של ירושלים [אלבום תצלומים].,1921,NNL01,,1921,ARCHIVE,8 Photographs : b&w ; 13 X 18 cm..,,003473795,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003473795,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Grand Mufti of Jerusalem Funeral [Album of photographs].""]"
ארץ ישראל,אלבום הטכניון העברי בחיפה [אלבום תצלומים].,אלבום הטכניון העברי בחיפה [אלבום תצלומים].,ca. 1924-1927,NNL01,"שויג, שמואל יוסף, 1902-1984 1902-1984 צלם",ca. 1924-1927,ARCHIVE,17 Photographs : b&w..,eng,003428387,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003428387,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Haifa Technical Institute [Album of photographs].""]"
ארץ ישראל,"Near East Exhibition and Fair in Tel Aviv, 1925 [Album of photographs].","Near East Exhibition and Fair in Tel Aviv, 1925 [Album of photographs].",1925,NNL01,,1925,ARCHIVE,24 Photographs : b&w..,,003619667,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003619667,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""[יריד המזרח בעיר תל אביב, תרפ\""ה] [אלבום תצלומים].""]"
ארץ ישראל,האוניברסיתה [!] העברית בירושלם [אלבום תצלומים].,האוניברסיתה [!] העברית בירושלם [אלבום תצלומים].,ca. 1925-1927,NNL01,,ca. 1925-1927,ARCHIVE,21 Photographs : b&w..,heb,003567658,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003567658,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""[The Hebrew University of Jerusalem] [Album of photographs].""]"
ארץ ישראל,אלבום חפירות החומה השלישית [אלבום תצלומים].,אלבום חפירות החומה השלישית [אלבום תצלומים].,1925-1926,NNL01,,1925-1926,ARCHIVE,26 Photographs : b&w..,,003427813,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003427813,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Third Wall of Jerusalem Archeological dig [Album of photographs].""]"
ארץ ישראל,אלבום כנרת [אלבום תצלומים].,אלבום כנרת [אלבום תצלומים].,ca. 1925-1945,NNL01,,ca. 1925-1945,ARCHIVE,107 Photographs : b&w..,heb,003430743,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003430743,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Kinnereth Album [Album of photographs].""]"
ארץ ישראל,אלבום פריץ אפשטין: תל אביב 1923 [אלבום תצלומים].,אלבום פריץ אפשטין: תל אביב 1923 [אלבום תצלומים].,1923,NNL01,,1923,ARCHIVE,13 Photographs : b&w..,,003619668,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003619668,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Fritz Epstein Album: Tel Aviv 1923 [Album of photographs].""]"
ארץ ישראל,חפירות שיך אבריק - בית שערים: עונה שלישית [אלבום תצלומים].,חפירות שיך אבריק - בית שערים: עונה שלישית [אלבום תצלומים].,1938-1939,NNL01,"פינקרפלד, יעקב, 1897-1956 1897-1956 צלם 1897-1956",1938-1939,ARCHIVE,24 Photographs : b&w..,heb,003624805,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003624805,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Beit She'arim Archeological Excavations: 3rd Season [Album of photographs]""]"
ארץ ישראל,קרן קימת לישראל [אלבום תצלומים].,קרן קימת לישראל [אלבום תצלומים].,1925-1927,NNL01,"שויג, שמואל יוסף, 1902-1984 1902-1984 צלם",1925-1927,ARCHIVE,102 Photographs : b&w..,heb,003428572,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003428572,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Jewish National Fund - KKL [Album of photographs].""]"
ארץ ישראל,"תצלומי ארץ ישראל מאת ש""י שויג [אלבום תצלומים].","תצלומי ארץ ישראל מאת ש""י שויג [אלבום תצלומים].",ca. 1926,NNL01,"שויג, שמואל יוסף, 1902-1984 1902-1984 צלם",ca. 1926,ARCHIVE,13 Photographs : b&w..,,003901087,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003901087,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Palestine photographs by Shmuel Joseph Schweig. [Album of photographs].""]"
ארץ ישראל,אלבום יוחנן בן דוד [אלבום תצלומים].,אלבום יוחנן בן דוד [אלבום תצלומים].,1926,NNL01,,1926,ARCHIVE,16 Photographs : b&w..,,003588119,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003588119,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Yohanan Ben-David Album [Album of photographs].""]"
