description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
Maslul (Israel) -- Photographs,ילדי בית ספר במושב מסלול בנגב.,ילדי בית ספר במושב מסלול בנגב.,,NNL01,,,image,1 photograph : b&w ; 129 X 178 mm..,,003673404,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003673404,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Maslul (Israel) -- Photographs""]","[""[School children in Maslul, a settlement in the Negev]""]"
Jerusalem (Israel) -- Photographs,"מתן מענק לידה ראשון על ידי שרת העבודה בבית החולים ""הדסה"", ירושלים.","מתן מענק לידה ראשון על ידי שרת העבודה בבית החולים ""הדסה"", ירושלים.",,NNL01,"רובינגר, דוד, 1924-2017 צלם",,image,"1 photograph : b&w, ; 130 X 169 mm..",,003567764,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003567764,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem (Israel) -- Photographs""]","[""[Minister of Labor granting the first time in Israel maternity grant at the Hadassah Hospital in Jerusalem.]""]"
"Herzl, Mount (Jerusalem, Israel) -- Photographs","בית הקברות הצבאי, הר הרצל, ירושלים - קבר החייל האלמוני.","בית הקברות הצבאי, הר הרצל, ירושלים - קבר החייל האלמוני.",,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003705746,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003705746,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Herzl, Mount (Jerusalem, Israel) -- Photographs""]","[""The Military Cemetary, Mt. Herzl, Jerusalem - Tomb of the Unknown Soldier.""]"
"Mea Shearim (Jerusalem, Israel) -- Photographs",ירושלים: במאה שערים.,ירושלים: במאה שערים.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003704952,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003704952,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Mea Shearim (Jerusalem, Israel) -- Photographs""]","[""Jerusalem: At Mea Shearim.""]"
ישראל. הכנסת,ירושלים: בנין הכנסת.,ירושלים: בנין הכנסת.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003705706,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003705706,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ישראל. הכנסת""]","[""Jerusalem: Knesset Building.""]"
"פלפוט, הרצליה; Jerusalem (Israel)",ירושלים: בניני הסוכנות היהודית.,ירושלים: בניני הסוכנות היהודית.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003705713,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003705713,"[""אוסף התצלומים, הספרייה הלאומית""]","[""פלפוט, הרצליה; Jerusalem (Israel)""]","[""Jerusalem:Buildings of the Jewish Agency.""]"
"Herzl, Mount (Jerusalem, Israel) -- Photographs",ירושלים: הכניסה להר הרצל.,ירושלים: הכניסה להר הרצל.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003705726,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003705726,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Herzl, Mount (Jerusalem, Israel) -- Photographs""]","[""Jerusalem: Entrance to Mt. Herzl.""]"
"Zion, Mount (Jerusalem, Israel) -- Pictorial works",ירושלים: הר ציון.,ירושלים: הר ציון.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003704766,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003704766,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Zion, Mount (Jerusalem, Israel) -- Pictorial works""]","[""Jerusalem: Mt. Zion.""]"
"Giv'at Ram (Jerusalem, Israel) -- Photographs",ירושלים: קרית האוניברסיטה בהקמתה.,ירושלים: קרית האוניברסיטה בהקמתה.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003705808,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003705808,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Giv'at Ram (Jerusalem, Israel) -- Photographs""]","[""Jerusalem: New University in Construction.""]"
Haifa (Israel) -- Photographs,"מבצע קדש: הנשיא ורעייתו מבקרים בעמדת צה""ל בראס נצרני.","מבצע קדש: הנשיא ורעייתו מבקרים בעמדת צה""ל בראס נצרני.",,NNL01,,,image,"1 photograph : b&w, ; 123 X 155 mm..",,003573458,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573458,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Haifa (Israel) -- Photographs""]","[""[President Ben Zvi and his wife visit the captured gun emplacements at Ras Nasarani, Sinai].""]"
