description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
Education -- Israel; עיריה - עיריות - מוניציפאלי; חינוך; גנים; Municipality; תל אביב,גני הילדים עירוניים נפתחים מחר,גני הילדים עירוניים נפתחים מחר,עירית תל אביב,NNL03,,1932,sheet,,heb,700128767,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128767,[null],"[""Education -- Israel; עיריה - עיריות - מוניציפאלי; חינוך; גנים; Municipality; תל אביב""]",[null]
Building -- Israel; Census -- Israel; עיריה - עיריות - מוניציפאלי; בנייה; מפקד; Municipality; תל אביב,"מודעה עירונית מס' 14 - לכל הבונים, הקבלים ופועלי הבנין","מודעה עירונית מס' 14 - לכל הבונים, הקבלים ופועלי הבנין",עירית תל אביב,NNL03,,1932,sheet,,heb,700128768,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128768,[null],"[""Building -- Israel; Census -- Israel; עיריה - עיריות - מוניציפאלי; בנייה; מפקד; Municipality; תל אביב""]",[null]
Commerce -- Israel; Small business -- Israel; עיריה - עיריות - מוניציפאלי; מסחר; סדר ומשמעת; עסקים קטנים; Municipality; תל אביב,מודעה עירונית מס' 15 - שעות סגירת החנויות,מודעה עירונית מס' 15 - שעות סגירת החנויות,עירית תל אביב,NNL03,,1932,sheet,,heb,700128769,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128769,[null],"[""Commerce -- Israel; Small business -- Israel; עיריה - עיריות - מוניציפאלי; מסחר; סדר ומשמעת; עסקים קטנים; Municipality; תל אביב""]",[null]
Education -- Israel; עיריה - עיריות - מוניציפאלי; חינוך; בית ספר; Municipality; Schools; תל אביב,מודעה עירונית מס' 16 - בתי הכספר יפתחו בשבוע הבא,מודעה עירונית מס' 16 - בתי הכספר יפתחו בשבוע הבא,עירית תל אביב,NNL03,,1932,sheet,,heb,700128770,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128770,[null],"[""Education -- Israel; עיריה - עיריות - מוניציפאלי; חינוך; בית ספר; Municipality; Schools; תל אביב""]",[null]
Education -- Israel; עיריה - עיריות - מוניציפאלי; חינוך; בית ספר; Municipality; Schools; תל אביב,מודעה עירונית מס' 19 - יקבע באופן מחלט מספר הכתות ומספר התלמידים שילמדו בהן,מודעה עירונית מס' 19 - יקבע באופן מחלט מספר הכתות ומספר התלמידים שילמדו בהן,"המחלקה לחנוך ותרבות, עירית תל-אביב",NNL03,,1932,sheet,,heb,700128771,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128771,[null],"[""Education -- Israel; עיריה - עיריות - מוניציפאלי; חינוך; בית ספר; Municipality; Schools; תל אביב""]",[null]
עיריה - עיריות - מוניציפאלי; רשיונות; תכנון ובניה; Municipality; Licenses; תל אביב,מודעה עירונית מס' 19 - פרטי הכרזה על קבלת תכניות לגן=מאיר,מודעה עירונית מס' 19 - פרטי הכרזה על קבלת תכניות לגן=מאיר,עירית תל אביב,NNL03,,1932,sheet,,heb,700128772,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128772,[null],"[""עיריה - עיריות - מוניציפאלי; רשיונות; תכנון ובניה; Municipality; Licenses; תל אביב""]",[null]
Hanukkah; Entertainment events -- Israel; Education -- Israel; עיריה - עיריות - מוניציפאלי; חנוכה; אירועי חוצות; חינוך; Municipality; תל אביב,"מודעה עירונית מס' 21 - תהלוכת האורים של חנוכה תרצ""ג","מודעה עירונית מס' 21 - תהלוכת האורים של חנוכה תרצ""ג",עירית תל אביב,NNL03,,1933,sheet,,heb,700128773,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128773,[null],"[""Hanukkah; Entertainment events -- Israel; Education -- Israel; עיריה - עיריות - מוניציפאלי; חנוכה; אירועי חוצות; חינוך; Municipality; תל אביב""]",[null]
עיריה - עיריות - מוניציפאלי; רשיונות; Municipality; Licenses; תל אביב,"מודעה עירונית מס' 21 - לכל בעלי העסקים, האפנים וכו' בתל=אביב","מודעה עירונית מס' 21 - לכל בעלי העסקים, האפנים וכו' בתל=אביב",עירית תל אביב,NNL03,,1932,sheet,,heb,700128774,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128774,[null],"[""עיריה - עיריות - מוניציפאלי; רשיונות; Municipality; Licenses; תל אביב""]",[null]
Infrastructure (Economics) -- Israel; עיריה - עיריות - מוניציפאלי; תשתיות; מים; Municipality; Water; תל אביב,על הספקת המים ובזבוזם - מודעה עירונית מס' 22,על הספקת המים ובזבוזם - מודעה עירונית מס' 22,עירית תל אביב,NNL03,,1932,sheet,,heb,700128775,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700128775,[null],"[""Infrastructure (Economics) -- Israel; עיריה - עיריות - מוניציפאלי; תשתיות; מים; Municipality; Water; תל אביב""]",[null]
"חיפה; י. ברץ, ד. רמז, מ. שרתוק; אסיפה; נאום; פוליטיקה","אספת עם נוכח המצב הפוליטי - י. ברץ, ד. רמז, מ. שרתוק","אספת עם נוכח המצב הפוליטי - י. ברץ, ד. רמז, מ. שרתוק","מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1930,sheet,,heb,700253153,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253153,[null],"[""חיפה; י. ברץ, ד. רמז, מ. שרתוק; אסיפה; נאום; פוליטיקה""]",[null]
חיפה; אסיפה; נאום; פוליטיקה,אספת עם נוכח המצב הפוליטי,אספת עם נוכח המצב הפוליטי,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1930,sheet,,heb,700253154,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253154,[null],"[""חיפה; אסיפה; נאום; פוליטיקה""]",[null]
חיפה; אסיפה; בחירות; בחירות לכנסת; פוליטיקה,לקראת הבחירות לאספת הנבחרים - אספה פומבית,לקראת הבחירות לאספת הנבחרים - אספה פומבית,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1930,sheet,,heb,700253155,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253155,[null],"[""חיפה; אסיפה; בחירות; בחירות לכנסת; פוליטיקה""]",[null]
חיפה; בחירות,לפנות מיד לועדת הבחירות שעל יד ועד הקהלה ולהודיע לה שנוי מעניהם,לפנות מיד לועדת הבחירות שעל יד ועד הקהלה ולהודיע לה שנוי מעניהם,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1930,sheet,,heb,700253156,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253156,[null],"[""חיפה; בחירות""]",[null]
אסיפה; בחירות; היסטוריה; פוליטיקה; ציונות; הקונגרס הציוני,אספה פומבית - דרישות השעה (לקראת הבחירות לאספת הנבחרים ולקונגרס הציוני),אספה פומבית - דרישות השעה (לקראת הבחירות לאספת הנבחרים ולקונגרס הציוני),מפלגת פועלי ארץ ישראל,NNL03,,1930,sheet,,heb,700253158,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253158,[null],"[""אסיפה; בחירות; היסטוריה; פוליטיקה; ציונות; הקונגרס הציוני""]",[null]
אסיפה; פוליטיקה,אספה פומבית על הנושא: ההתאבקות הפוליטית בשעה זו,אספה פומבית על הנושא: ההתאבקות הפוליטית בשעה זו,"מפלגת פועלי ארץ ישראל, סניף תל-אביב",NNL03,,1930,sheet,,heb,700253166,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253166,[null],"[""אסיפה; פוליטיקה""]",[null]
אסיפה; בחירות; נאום; פוליטיקה; תעסוקה; פועלים; מפלגות,"אספה פומבית - ינאמו הח""ח: עדה פישמן, י. רובשוב ומ. שרתוק","אספה פומבית - ינאמו הח""ח: עדה פישמן, י. רובשוב ומ. שרתוק",מפלגת פועלי ארץ ישראל,NNL03,,1931,sheet,,heb,700253169,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253169,[null],"[""אסיפה; בחירות; נאום; פוליטיקה; תעסוקה; פועלים; מפלגות""]",[null]
אסיפה; בחירות; נאום,אספה פומבית על הנושא: לאחר הבחירות,אספה פומבית על הנושא: לאחר הבחירות,"מפלגת פועלי ארץ ישראל, סניף תל-אביב",NNL03,,1931,sheet,,heb,700253170,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253170,[null],"[""אסיפה; בחירות; נאום""]",[null]
דוד בן-גוריון; היסטוריה; הרצאה; פוליטיקה; ציונות; הקונגרס הציוני,"ירצה הח' ד. בן-גוריון על הקונגרס הי""ז ודרכנו להבא","ירצה הח' ד. בן-גוריון על הקונגרס הי""ז ודרכנו להבא","מפלגת פועלי ארץ ישראל, סניף תל-אביב",NNL03,,1931,sheet,,heb,700253171,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253171,[null],"[""דוד בן-גוריון; היסטוריה; הרצאה; פוליטיקה; ציונות; הקונגרס הציוני""]",[null]
אסיפה; פוליטיקה; מפלגות; פועלים,לכל חברי המפלגה בחיפה! - המשך האספה הכללית של חברי המפלגה,לכל חברי המפלגה בחיפה! - המשך האספה הכללית של חברי המפלגה,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1933,sheet,,heb,700253173,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253173,[null],"[""אסיפה; פוליטיקה; מפלגות; פועלים""]",[null]
יוסף ברץ; הרצאה; חברה; פוליטיקה; פנאי; אמריקה,הרצאת הח' יוסף ברץ על רשמים מאמריקה,הרצאת הח' יוסף ברץ על רשמים מאמריקה,"מפלגת פועלי ארץ-ישראל, סניף ירושלים",NNL03,,1931,sheet,,heb,700253174,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253174,[null],"[""יוסף ברץ; הרצאה; חברה; פוליטיקה; פנאי; אמריקה""]",[null]
דב הוז; הרצאה; חברה; סוציאליזם,ירצה הח' דב הוז על הנושא: הקונגרס של האינרנציונל הסוציאליסטי בוינה,ירצה הח' דב הוז על הנושא: הקונגרס של האינרנציונל הסוציאליסטי בוינה,"מפלגת פועלי ארץ-ישראל, סניף ירושלים",NNL03,,1931,sheet,,heb,700253175,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253175,[null],"[""דב הוז; הרצאה; חברה; סוציאליזם""]",[null]
