description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
,"כתובה. טהראן, איראן. תרס""א.","כתובה. טהראן, איראן. תרס""א.",טהראן,NNL01,,"תרס""א (1901)",manuscript,"8 עמ' ; 205X153 מ""מ..; נייר.",heb,003505310,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH003505310,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tehran, Iran. 1901""]"
,"כתובה. טנג'יר, מרוקו. תרס""א.","כתובה. טנג'יר, מרוקו. תרס""א.",טאנג'אר,NNL01,,"ד בסיון תרס""א (1901)",manuscript,"1 דף ; 345X370 מ""מ..; נייר.",heb,003255456,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH003255456,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tangier, Morocco. 1901""]"
,"כתובה. יזד, איראן. תרס""א.","כתובה. יזד, איראן. תרס""א.",יזד,NNL01,,"כב באדר תרס""א (1901)",manuscript,"1 דף ; 1010X645 מ""מ..; נייר.",heb,000301136,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301136,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Yazd, Iran. 1901""]"
,"כתובה. מוגדור, מרוקו. תרס""א.","כתובה. מוגדור, מרוקו. תרס""א.",אצוירא,NNL01,,"כח באלול תרס""א (1901)",manuscript,"1 דף ; 550X302 מ""מ..; קלף.",heb,000303131,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000303131,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Essaouira, Morocco. 1901""]"
,"כתובה. מקנס, מרוקו. תרס""א","כתובה. מקנס, מרוקו. תרס""א",מכנאסא,NNL01,,"כו באייר תרס""א (1901)",manuscript,"1 דף ; 237X365 מ""מ..; נייר.",heb,000300206,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300206,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Meknes, Morocco. 1901""]"
,"כתובה. מקנס, מרוקו. תרס""ב","כתובה. מקנס, מרוקו. תרס""ב",מכנאסא,NNL01,,"ב בכסלו תרס""ב (1901)",manuscript,"1 דף ; 460X360 מ""מ..; נייר.",heb,000300163,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300163,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Meknes, Morocco. 1901""]"
,"כתובה. פררה, איטליה. תרס""ב.","כתובה. פררה, איטליה. תרס""ב.",פירארא,NNL01,,"יב בתשרי תרס""ב (1901)",manuscript,"1 דף ; 410X298 מ""מ..; קלף.",heb,000300292,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300292,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Ferrara, Italy. 1901""]"
,"כתובה. פררה, איטליה. תרס""ב.","כתובה. פררה, איטליה. תרס""ב.",פירארא,NNL01,,"יד בחשון תרס""ב (1901)",manuscript,"1 דף ; 405X288 מ""מ..; קלף.",heb,000301471,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301471,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Ferrara, Italy. 1901""]"
,"כתובה. שיראז, איראן. תרס""א","כתובה. שיראז, איראן. תרס""א",שיראז,NNL01,,"טז באב תרס""א (1901)",manuscript,"1 דף ; 345X212 מ""מ..; נייר.",heb,000301352,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301352,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Shiraz, Iran. 1901""]"
Levirate,"כתובה. תוניס, תוניסיה. תרס""ב","כתובה. תוניס, תוניסיה. תרס""ב",תונס,NNL01,,"ל בתשרי תרס""ב (1901)",manuscript,"1 דף ; 354X251 מ""מ..; נייר.",heb,000301052,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301052,"[""מאוסף הספרייה הלאומית""]","[""Levirate""]","[""Ketubbah. Tunis, Tunisia. 1901""]"
,"כתובה. אלכסנדריה, מצרים. תרס""ב.","כתובה. אלכסנדריה, מצרים. תרס""ב.",נא אמון,NNL01,,"יד בניסן תרס""ב (1902)",manuscript,"1 דף ; 500X345 מ""מ..; נייר.",heb,000302934,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000302934,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Alexandria, Egypt. 1902""]"
,"כתובה. אסארג, מרוקו. תרס""ב.","כתובה. אסארג, מרוקו. תרס""ב.",כפר אסארג,NNL01,,"ד בניסן תרס""ב (1902)",manuscript,"1 דף ; 225X185 מ""מ..; נייר.",heb,000302992,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000302992,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Assarg, Morocco. 1902""]"
,"כתובה. דיסיר, לוב. תרס""ג","כתובה. דיסיר, לוב. תרס""ג","דיסיר, לוב",NNL01,,"יד בתשרי תרס""ג (1902)",manuscript,"1 דף ; 345X227 מ""מ..; נייר.",heb,000300963,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300963,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Dissir, Libya. 1902""]"
,"כתובה. הראת, אפגניסטן. תרס""ב","כתובה. הראת, אפגניסטן. תרס""ב",הראת,NNL01,,"ג בתמוז תרס""ב (1902)",manuscript,"1 דף ; 443X352 מ""מ..; נייר.",heb,000300027,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300027,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Herat, Afghanistan. 1902""]"
,"כתובה. קלוון (אזור רובנו), אוקראינה. תרס""ב.","כתובה. קלוון (אזור רובנו), אוקראינה. תרס""ב.",וואגיזאל קלעוואנער,NNL01,,"א באלול תרס""ב (1902)",manuscript,"2 דפים ; 222X180 מ""מ..; נייר.",heb,000300253,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300253,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Klevan, Ukraine. 1902""]"
,"כתובה. ורוצלב, פולין. תרס""ב.","כתובה. ורוצלב, פולין. תרס""ב.",ברעסלא,NNL01,,"כד באב תרס""ב (1902)",manuscript,"1 דף ; 330X210 מ""מ..; נייר.",heb,000300917,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300917,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Wroclaw, Poland. 1902""]"
,"כתובה. ירושלים, ישראל. תרס""ב","כתובה. ירושלים, ישראל. תרס""ב",ירושלם,NNL01,,"יג בשבט תרס""ב (1902)",manuscript,"1 דף ; 415X405 מ""מ..; נייר.",heb,000300034,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300034,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Jerusalem, Israel. 1902""]"
,"כתובה. צפרו, מרוקו. תרס""ג","כתובה. צפרו, מרוקו. תרס""ג",צפרו,NNL01,,"יט בחשון תרס""ג (1902)",manuscript,"1 דף ; 360X230 מ""מ..; נייר.",heb,000300209,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300209,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Sefrou. Morocco. 1902""]"
,"כתובה. קבאתל, תימן. תרס""ב.","כתובה. קבאתל, תימן. תרס""ב.",קבאתל,NNL01,,"ט באלול ב'רי""ג לשטרות (1902)",manuscript,"1 דף ; 155X180 מ""מ..; נייר.",heb,000300574,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300574,"[""מאוסף הספרייה הלאומית""]",[null],[null]
,"כתובה. איספהאן, איראן. תרס""ג.","כתובה. איספהאן, איראן. תרס""ג.",אצפהן,NNL01,,"ח באלול תרס""ג (1903)",manuscript,"1 דף ; 453X340 מ""מ..; נייר.",heb,000301474,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301474,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Isfahan, Iran. 1903""]"
,"כתובה. בגדאד, עיראק. תרס""ד","כתובה. בגדאד, עיראק. תרס""ד",בגדאד,NNL01,,"כה בכסלו תרס""ד (1903)",manuscript,"432X275 מ""מ..; נייר.",heb,000301035,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301035,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Baghdad, Iraq. 1903""]"
,"כתובה. דבדו, מרוקו. תרס""ג","כתובה. דבדו, מרוקו. תרס""ג",דובדו,NNL01,,"ב בניסן תרס""ג (1903)",manuscript,"1 דף ; 200X150 מ""מ..; נייר.",heb,000300859,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300859,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Debdou, Morocco. 1903""]"
,"כתובה. הראת, אפגניסטן. תרס""ג","כתובה. הראת, אפגניסטן. תרס""ג",הראת,NNL01,,"כב בטבת תרס""ג (1903)",manuscript,"1 דף ; 360X222 מ""מ..; נייר.",heb,000300886,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300886,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Herat, Afghanistan. 1903""]"
,"כתובה. טהראן, איראן. תרס""ג","כתובה. טהראן, איראן. תרס""ג",טהראן,NNL01,,"ג בטבת תרס""ג (1903)",manuscript,"4 דף ; 222X177 מ""מ..; נייר.",heb,000301007,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301007,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tehran, Iran. 1903""]"
,"כתובה. מנהיים, גרמניה. תרס""ד.","כתובה. מנהיים, גרמניה. תרס""ד.",מאננהיים,NNL01,,"א בטבת תרס""ד (1903)",manuscript,"1 דף ; 285X225 מ""מ..; קלף.",heb,000301008,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301008,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Mannheim, Germany. 1903""]"
,"כתובה. פולין. אחרי תרס""ג","כתובה. פולין. אחרי תרס""ג",פולין,NNL01,,"תרס""ג (1903)",manuscript,"1 דף ; 463X313 מ""מ..; נייר.",heb,000300918,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300918,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Poland. after 1903""]"
,"כתובה. צפת, ישראל. תרס""ג.","כתובה. צפת, ישראל. תרס""ג.",צפת,NNL01,,"ד באלול תרס""ג (1903)",manuscript,"1 דף ; 290X230 מ""מ..; נייר.",heb,000303867,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000303867,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tsefat, Israel. 1903""]"
,"כתובה. קובה, אזרבייג'ן. תרס""ג.","כתובה. קובה, אזרבייג'ן. תרס""ג.",קובא דאתקריא קודייאל,NNL01,,"יז בניסן תרס""ג (1903)",manuscript,"1 דף ; 355X220 מ""מ..; נייר.",heb,000302452,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000302452,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Quba, Azerbaijan. 1903""]"
