manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
"כתובה. תימן. תקס""-",000300699,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300699/sequence/IE9207759,"[כתובה. תימן, תקס&quot;-]",http://iiif.nli.org.il/IIIFv21/FL9470769,ketubba,FL9470769,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9470769/full/max/0/default.jpg,dctypes:Image,image/jpeg;,460,800,460,800
"כתובה. תימן. תר""-",000300741,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300741/sequence/IE9206018,"[כתובה. תימן, תר&quot;-]",http://iiif.nli.org.il/IIIFv21/FL9468506,ketubba,FL9468506,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9468506/full/max/0/default.jpg,dctypes:Image,image/jpeg;,589,800,589,800
"כתובה. תימן. תר""-",000300742,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300742/sequence/IE9222987,"[כתובה. תימן, תר&quot;-]",http://iiif.nli.org.il/IIIFv21/FL9470630,ketubba,FL9470630,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9470630/full/max/0/default.jpg,dctypes:Image,image/jpeg;,568,800,568,800
"כתובה. אנקונה, איטליה. תקס""ב",000300115,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300115/sequence/IE9206008,"[כתובה. אנקונה, איטליה, תקס&quot;ב]",http://iiif.nli.org.il/IIIFv21/FL9468450,ketubba,FL9468450,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9468450/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,653,800,653
"כתובה. גצואולו, איטליה. תקס""א.",000300144,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300144/sequence/IE9206678,"[כתובה. גאזולו, איטליה, תקס&quot;א].",http://iiif.nli.org.il/IIIFv21/FL9469530,[כתובה. גאזולו; איטליה; תקסא],FL9469530,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9469530/full/max/0/default.jpg,dctypes:Image,image/jpeg;,622,800,622,800
"כתובה. ורונה, איטליה. תקס""א",000300732,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300732/sequence/IE9128838,"[כתובה. וירונה, איטליה, תקס&quot;א]",http://iiif.nli.org.il/IIIFv21/FL9156760,ketubba,FL9156760,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9156760/full/max/0/default.jpg,dctypes:Image,image/jpeg;,541,800,541,800
"כתובה. ורונה, איטליה. תקס""א",000300732,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300732/sequence/IE9203066,"[כתובה. וירונה, איטליה, תקס&quot;א]",http://iiif.nli.org.il/IIIFv21/FL9468687,ketubba,FL9468687,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9468687/full/max/0/default.jpg,dctypes:Image,image/jpeg;,541,800,541,800
"כתובה. רג'ו אמיליה, איטליה. תקס""א.",000300068,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300068/sequence/IE9199983,"[כתובה. רג&apos;יו אמיליה, איטליה, תקס&quot;א]",http://iiif.nli.org.il/IIIFv21/FL9463317,ketubba,FL9463317,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9463317/full/max/0/default.jpg,dctypes:Image,image/jpeg;,607,800,607,800
"כתובה. אמסטרדם, הולנד. תקס""ג.",004071590,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH004071590/sequence/IE53812085,JER NLI 901.1902=8,http://iiif.nli.org.il/IIIFv21/FL53812091,Fol. [001]r,FL53812091,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL53812091/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4733,7103,4733,7103
"כתובה. אמסטרדם, הולנד. תקס""ג.",004071590,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH004071590/sequence/IE53812085,JER NLI 901.1902=8,http://iiif.nli.org.il/IIIFv21/FL53812099,Fol. [001]v,FL53812099,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL53812099/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4824,7086,4824,7086
