manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
אל כל פועלי תל-אביב - סיעת פועלי ציון במ.פ. י.,700259811,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259811/sequence/IE9229602,אל כל פועלי תל-אביב - סיעת פועלי ציון במ.פ. י.,http://iiif.nli.org.il/IIIFv21/FL9231516,אל כל פועלי תל-אביב - סיעת פועלי ציון במ.פ. י.,FL9231516,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231516/full/max/0/default.jpg,dctypes:Image,image/jpeg;,413,800,413,800
הלאה הגירושים מן הארץ והגבלות העליה.,700259816,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259816/sequence/IE9229557,הלאה הגירושים מן הארץ והגבלות העליה,http://iiif.nli.org.il/IIIFv21/FL9231464,הלאה הגירושים מן הארץ והגבלות העליה,FL9231464,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231464/full/max/0/default.jpg,dctypes:Image,image/jpeg;,498,800,498,800
הלאה הכוליגניזם הפשטיסטית - לכל צבור הפועלים בארץ.,700259817,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259817/sequence/IE9229551,הלאה הכוליגניזם הפשטיסטית - לכל צבור הפועלים בארץ,http://iiif.nli.org.il/IIIFv21/FL9231453,הלאה הכוליגניזם הפשטיסטית - לכל צבור הפועלים בארץ,FL9231453,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231453/full/max/0/default.jpg,dctypes:Image,image/jpeg;,488,800,488,800
מכתב גלוי לצירי מועצת פועלי יפו ולכל סיעותיה.,700259819,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259819/sequence/IE9229534,מכתב גלוי לצירי מועצת פועלי יפו ולכל סיעותיה,http://iiif.nli.org.il/IIIFv21/FL9231434,מכתב גלוי לצירי מועצת פועלי יפו ולכל סיעותיה,FL9231434,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231434/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,589,800,589
מכתב גלוי לצירי מועצת פועלי יפו ולכל סיעותיה.,700259821,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259821/sequence/IE9229521,מכתב גלוי לצירי מועצת פועלי יפו ולכל סיעותיה,http://iiif.nli.org.il/IIIFv21/FL9231418,מכתב גלוי לצירי מועצת פועלי יפו ולכל סיעותיה,FL9231418,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231418/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,543,800,543
לכל צבור הפועלות - יום הפועלת הבין לאומי.,700259822,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259822/sequence/IE9229510,לכל צבור הפועלות - יום הפועלת הבין לאומי,http://iiif.nli.org.il/IIIFv21/FL9231407,לכל צבור הפועלות - יום הפועלת הבין לאומי,FL9231407,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231407/full/max/0/default.jpg,dctypes:Image,image/jpeg;,747,800,747,800
א. קצנלסון - הסוכנות היהודית וההסתדרות הציונית.,700259824,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259824/sequence/IE9229494,א. קצנלסון - הסוכנות היהודית וההסתדרות הציונית,http://iiif.nli.org.il/IIIFv21/FL9231388,א. קצנלסון - הסוכנות היהודית וההסתדרות הציונית,FL9231388,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9231388/full/max/0/default.jpg,dctypes:Image,image/jpeg;,634,800,634,800
אספת בחירות פומבית.,700259828,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259828/sequence/IE9171621,אספת בחירות פומבית,http://iiif.nli.org.il/IIIFv21/FL9181756,אספת בחירות פומבית,FL9181756,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181756/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,593,800,593
"הרצאה - על המאורעות במפלגה לאור המציאות האי""ת.",700259829,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259829/sequence/IE9171552,"הרצאה - על המאורעות במפלגה לאור המציאות האי""ת",http://iiif.nli.org.il/IIIFv21/FL9181708,הרצאה - על המאורעות במפלגה לאור המציאות האית,FL9181708,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181708/full/max/0/default.jpg,dctypes:Image,image/jpeg;,500,800,500,800
אספת בוחרים - אלכסנדר ערעם.,700259830,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259830/sequence/IE9171489,אספת בוחרים - אלכסנדר ערעם,http://iiif.nli.org.il/IIIFv21/FL9182118,אספת בוחרים - אלכסנדר ערעם,FL9182118,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182118/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,524,800,524
אספת בוחרים - וועשער אלכסנדר,700259831,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259831/sequence/IE9171385,אספת בוחרים - וועשער אלכסנדר,http://iiif.nli.org.il/IIIFv21/FL9181434,אספת בוחרים - וועשער אלכסנדר,FL9181434,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181434/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,533,800,533
אספת בוחרים - מי הן 13 הרשימות.,700259832,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259832/sequence/IE9171311,אספת בוחרים - מי הן 13 הרשימות,http://iiif.nli.org.il/IIIFv21/FL9183013,אספת בוחרים - מי הן 13 הרשימות,FL9183013,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9183013/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,505,800,505
ב. בורוכוב - נשף אזכרה.,700259833,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259833/sequence/IE9171233,ב. בורוכוב - נשף אזכרה,http://iiif.nli.org.il/IIIFv21/FL9182992,ב. בורוכוב - נשף אזכרה,FL9182992,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182992/full/max/0/default.jpg,dctypes:Image,image/jpeg;,555,800,555,800
"מודעה - ע""י המפלגה נפתחים שעורי מדע.",700259834,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259834/sequence/IE9171157,"מודעה - ע""י המפלגה נפתחים שעורי מדע",http://iiif.nli.org.il/IIIFv21/FL9181925,מודעה - עי המפלגה נפתחים שעורי מדע,FL9181925,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181925/full/max/0/default.jpg,dctypes:Image,image/jpeg;,541,800,541,800
אספה פומבית - הזו היא התשובה?,700259835,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259835/sequence/IE9171098,אספה פומבית - הזו היא התשובה?,http://iiif.nli.org.il/IIIFv21/FL9182676,אספה פומבית - הזו היא התשובה?,FL9182676,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182676/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,603,800,603
אספת אזכרה לב. בורוכוב.,700259837,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259837/sequence/IE9170965,אספת אזכרה לב. בורוכוב,http://iiif.nli.org.il/IIIFv21/FL9181394,אספת אזכרה לב. בורוכוב,FL9181394,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181394/full/max/0/default.jpg,dctypes:Image,image/jpeg;,604,800,604,800
מסבך הנגודים לפתרונות - בדרך למדינה יהודית.,700259838,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259838/sequence/IE9170884,מסבך הנגודים לפתרונות - בדרך למדינה יהודית,http://iiif.nli.org.il/IIIFv21/FL9181696,מסבך הנגודים לפתרונות - בדרך למדינה יהודית,FL9181696,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181696/full/max/0/default.jpg,dctypes:Image,image/jpeg;,510,800,510,800
פועלי ציון - 1.,700259839,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259839/sequence/IE9170807,פועלי ציון - 1,http://iiif.nli.org.il/IIIFv21/FL9181903,פועלי ציון - 1,FL9181903,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181903/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,657,800,657
פועלי-ציון ליסטע ד' - תל-אביבער ארבטער!,700259840,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259840/sequence/IE9170748,פועלי-ציון ליסטע ד' - תל-אביבער ארבטער!,http://iiif.nli.org.il/IIIFv21/FL9182640,פועלי-ציון ליסטע ד' - תל-אביבער ארבטער!,FL9182640,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182640/full/max/0/default.jpg,dctypes:Image,image/jpeg;,552,800,552,800
הרצאה על הנושא: לקראת הבחירות למועצת הפועלים העירונית,700259853,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259853/sequence/IE9169988,הרצאה על הנושא: לקראת הבחירות למועצת הפועלים העירונית,http://iiif.nli.org.il/IIIFv21/FL9181636,הרצאה על הנושא: לקראת הבחירות למועצת הפועלים העירונית ,FL9181636,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181636/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,606,800,606
"לקראת הבחירות - ינאמו הח""ח: ליבוביץ,שטרקר ויצחקי",700259854,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259854/sequence/IE9169944,"לקראת הבחירות - ינאמו הח""ח: ליבוביץ,שטרקר ויצחקי",http://iiif.nli.org.il/IIIFv21/FL9182953,"לקראת הבחירות - ינאמו החח: ליבוביץ,שטרקר ויצחקי",FL9182953,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182953/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,531,800,531
"הרצאה על הנושא: האחוד של הפועה""צ ואח""העב",700259855,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259855/sequence/IE9169898,"הרצאה על הנושא: האחוד של הפועה""צ ואח""העב",http://iiif.nli.org.il/IIIFv21/FL9182504,הרצאה על הנושא: האחוד של הפועהצ ואחהעב,FL9182504,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182504/full/max/0/default.jpg,dctypes:Image,image/jpeg;,301,800,301,800
הרצאה על הנושא: מלחמת הבחירות לעירית תל-אביב ותוצאותיה,700259856,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259856/sequence/IE9169859,הרצאה על הנושא: מלחמת הבחירות לעירית תל-אביב ותוצאותיה,http://iiif.nli.org.il/IIIFv21/FL9181374,הרצאה על הנושא: מלחמת הבחירות לעירית תל-אביב ותוצאותיה,FL9181374,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181374/full/max/0/default.jpg,dctypes:Image,image/jpeg;,519,800,519,800
שיחת חברים הראשון למאי חג הפרולטריון הלוחם,700259858,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259858/sequence/IE9169744,שיחת חברים הראשון למאי חג הפרולטריון הלוחם,http://iiif.nli.org.il/IIIFv21/FL9181868,שיחת חברים הראשון למאי חג הפרולטריון הלוחם,FL9181868,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181868/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,630,800,630
לכל פועלי פתח-תקוה -האנרכיה בשוק העבודה,700259859,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259859/sequence/IE9169714,לכל פועלי פתח-תקוה -האנרכיה בשוק העבודה,http://iiif.nli.org.il/IIIFv21/FL9182480,לכל פועלי פתח-תקוה -האנרכיה בשוק העבודה,FL9182480,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182480/full/max/0/default.jpg,dctypes:Image,image/jpeg;,577,800,577,800
לצבור הפועלים בירושלים! - השביתה בבתי הדפוס,700259861,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259861/sequence/IE9169613,לצבור הפועלים בירושלים! - השביתה בבתי הדפוס,http://iiif.nli.org.il/IIIFv21/FL9182918,לצבור הפועלים בירושלים! - השביתה בבתי הדפוס,FL9182918,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182918/full/max/0/default.jpg,dctypes:Image,image/jpeg;,562,800,562,800
הלאה ההסתה הפוגרומית!,700259864,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259864/sequence/IE9169488,הלאה ההסתה הפוגרומית!,http://iiif.nli.org.il/IIIFv21/FL9181840,הלאה ההסתה הפוגרומית!,FL9181840,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181840/full/max/0/default.jpg,dctypes:Image,image/jpeg;,605,800,605,800
לכל פועלי פתח-תקוה - הבחירות למועצת המושבה,700259879,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259879/sequence/IE9168626,לכל פועלי פתח-תקוה - הבחירות למועצת המושבה,http://iiif.nli.org.il/IIIFv21/FL9182194,לכל פועלי פתח-תקוה - הבחירות למועצת המושבה,FL9182194,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182194/full/max/0/default.jpg,dctypes:Image,image/jpeg;,516,800,516,800
ה-1 באוגוסט - גיוס הכוחות למלחמה במלחמה,700259880,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259880/sequence/IE9168580,ה-1 באוגוסט - גיוס הכוחות למלחמה במלחמה,http://iiif.nli.org.il/IIIFv21/FL9181612,ה-1 באוגוסט - גיוס הכוחות למלחמה במלחמה,FL9181612,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181612/full/max/0/default.jpg,dctypes:Image,image/jpeg;,569,800,569,800
צום 1 אוגוסט - אלע קעגן די קריגם-געתארן,700259881,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259881/sequence/IE9168527,צום 1 אוגוסט - אלע קעגן די קריגם-געתארן,http://iiif.nli.org.il/IIIFv21/FL9181598,צום 1 אוגוסט - אלע קעגן די קריגם-געתארן,FL9181598,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181598/full/max/0/default.jpg,dctypes:Image,image/jpeg;,572,800,572,800
לכל הפועלים בארץ! - הלאה הסתה הפוגרומית!,700259882,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259882/sequence/IE9168468,לכל הפועלים בארץ! - הלאה הסתה הפוגרומית!,http://iiif.nli.org.il/IIIFv21/FL9182176,לכל הפועלים בארץ! - הלאה הסתה הפוגרומית! ,FL9182176,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182176/full/max/0/default.jpg,dctypes:Image,image/jpeg;,602,800,602,800
לכל פועלי תל-אביב - יום הראשון למאי ממשמש ובא!,700259883,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259883/sequence/IE9168405,לכל פועלי תל-אביב - יום הראשון למאי ממשמש ובא!,http://iiif.nli.org.il/IIIFv21/FL9182838,לכל פועלי תל-אביב - יום הראשון למאי ממשמש ובא! ,FL9182838,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182838/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,566,800,566
לצבור הפועלים בארץ - תחי מפלגת פועלי ארץ-ישראל,700259884,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259884/sequence/IE9168347,לצבור הפועלים בארץ - תחי מפלגת פועלי ארץ-ישראל,http://iiif.nli.org.il/IIIFv21/FL9181938,לצבור הפועלים בארץ - תחי מפלגת פועלי ארץ-ישראל,FL9181938,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9181938/full/max/0/default.jpg,dctypes:Image,image/jpeg;,577,800,577,800
לינקע פועלי ציון,700259885,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700259885/sequence/IE9168299,לינקע פועלי ציון,http://iiif.nli.org.il/IIIFv21/FL9182160,לינקע פועלי ציון,FL9182160,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9182160/full/max/0/default.jpg,dctypes:Image,image/jpeg;,409,800,409,800
"מודיעה בצער רב על מות הד""ר שמשון רוזנבוים ז""ל",700260268,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700260268/sequence/IE9163843,"מודיעה בצער רב על מות  הד""ר שמשון רוזנבוים ז""ל",http://iiif.nli.org.il/IIIFv21/FL9174130,מודיעה בצער רב על מות  הדר שמשון רוזנבוים זל,FL9174130,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9174130/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,534,800,534
תל אביב מבכה את אחד מאזרחיה-בוניה הראשונים,700260299,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700260299/sequence/IE9163323,תל אביב מבכה את אחד מאזרחיה-בוניה הראשונים,http://iiif.nli.org.il/IIIFv21/FL9171032,תל אביב מבכה את אחד מאזרחיה-בוניה הראשונים ,FL9171032,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9171032/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,610,800,610
