doc_id,system_number,manifest_url,manifest_file
NNL_ARCHIVE_AL003712743,003712743,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712743/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712743.json
NNL_ARCHIVE_AL003712888,003712888,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712888/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712888.json
NNL_ARCHIVE_AL003713136,003713136,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003713136/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/713/003713136.json
NNL_ARCHIVE_AL003712918,003712918,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712918/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712918.json
NNL_ARCHIVE_AL003712885,003712885,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712885/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712885.json
NNL_ARCHIVE_AL003713576,003713576,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003713576/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/713/003713576.json
NNL_ARCHIVE_AL003712915,003712915,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712915/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712915.json
NNL_ARCHIVE_AL003712739,003712739,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712739/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712739.json
NNL_ARCHIVE_AL003712741,003712741,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712741/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712741.json
NNL_ARCHIVE_AL003713144,003713144,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003713144/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/713/003713144.json
NNL_ARCHIVE_AL003712922,003712922,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712922/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712922.json
NNL_ARCHIVE_AL003712738,003712738,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712738/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712738.json
NNL_ARCHIVE_AL003712864,003712864,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712864/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712864.json
NNL_ARCHIVE_AL003712883,003712883,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712883/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712883.json
NNL_ARCHIVE_AL003712814,003712814,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712814/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712814.json
NNL_ARCHIVE_AL003713133,003713133,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003713133/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/713/003713133.json
NNL_ARCHIVE_AL003712921,003712921,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712921/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712921.json
NNL_ARCHIVE_AL003713141,003713141,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003713141/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/713/003713141.json
NNL_ARCHIVE_AL003712742,003712742,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003712742/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/712/003712742.json
NNL_ARCHIVE_AL002642539,002642539,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002642539/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/642/002642539.json
NNL_ARCHIVE_AL003696861,003696861,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003696861/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/696/003696861.json
NNL_ARCHIVE_AL002642686,002642686,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002642686/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/642/002642686.json
NNL_ARCHIVE_AL003680855,003680855,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003680855/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/680/003680855.json
